DIVRE,BRANCH,COVERAGE
I,MEDAN  ,Kod. Medan
I,MEDAN  ,Kab. Langkat
I,MEDAN  ,Kota Binjai
I,PEMATANG SIANTAR  ,Kota Pematang Siantar
I,PEMATANG SIANTAR  ,Kabupaten Simalungun
I,PEMATANG SIANTAR  ,Kab. Toba 
I,PEMATANG SIANTAR  ,Kab. Samosir
I,KABANJAHE  ,Kab. Karo
I,KABANJAHE  ,Kab. Dairi
I,KABANJAHE  ,Kab. Pakpak Bharat
I,SIBOLGA  ,Kod. Sibolga
I,SIBOLGA  ,Kab. Tapanuli Tengah
I,SIBOLGA  ,Kab. Nias
I,SIBOLGA  ,Kab. Tapanuli Utara
I,SIBOLGA  ,Kota Gunung Sitoli
I,SIBOLGA  ,Kab. Nias Utara
I,SIBOLGA  ,Kab. Nias Barat
I,SIBOLGA  ,Kab. Nias Selatan
I,TANJUNG BALAI  ,Kod. Tanjung Balai
I,TANJUNG BALAI  ,Kab.Labuhan Batu
I,TANJUNG BALAI  ,Kota Asahan
I,TANJUNG BALAI  ,Kab. Batu Bara
I,TANJUNG BALAI  ,Kab. Labuhan Batu Utara
I,TANJUNG BALAI  ,Kab. Labuhan Batu Selatan
I,BANDA ACEH  ,Kod. Banda Aceh
I,BANDA ACEH  ,Kota Sabang
I,BANDA ACEH  ,Kab. Aceh Besar
I,BANDA ACEH  ,Kab. Pidie
I,BANDA ACEH  ,Kab. Pidie Jaya
I,LANGSA  ,Kab. Aceh Timur 
I,LANGSA  ,Kab. Aceh Tamiang
I,LANGSA  ,Kab. Aceh Tenggara
I,LANGSA  ,Kab. Gayo Lues
I,LHOKSEUMAWE  ,Kab. Aceh Utara
I,LHOKSEUMAWE  ,Kab. Aceh Tengah
I,LHOKSEUMAWE  ,Kab.Bireuen
I,LHOKSEUMAWE  ,Kota Lhokseumawe
I,LHOKSEUMAWE  ,Kab. Bener Meriah
I,MEULABOH  ,Kab. Aceh Barat
I,MEULABOH  ,Kab. Aceh Selatan
I,MEULABOH  ,Kab. Simeulue
I,MEULABOH  ,Kab. Aceh Singkil
I,MEULABOH  ,Kab. Aceh Jaya
I,MEULABOH  ,Kab. Nagan Raya
I,MEULABOH  ,Kab. Aceh Barat Daya
I,MEULABOH  ,Kota Subulussalam
I,PADANG SIDEMPUAN ,Kod. Padang Sidempuan
I,PADANG SIDEMPUAN ,Kab. Mandailing Natal
I,PADANG SIDEMPUAN ,Kab. Padang Lawas
I,PADANG SIDEMPUAN ,Kab. Padang Lawas Utara
I,PADANG SIDEMPUAN ,Kab. Tapanuli Selatan
I,LUBUK PAKAM  ,Kab. Deli Serdang
I,LUBUK PAKAM  ,Kab. Serdang Bedagai
I,LUBUK PAKAM  ,Kota Tebing Tinggi
II,PEKANBARU,Kod. Pekanbaru
II,PEKANBARU,Kab. Indragiri Hulu
II,PEKANBARU,Kab. Indragiri Hilir
II,PEKANBARU,Kab. Kampar
II,PEKANBARU,Kab. Kuantan Singingi
II,PEKANBARU,Kab. Rokan Hulu
II,PEKANBARU,Kab. Pelalawan
II, DUMAI ,Kota Duri
II, DUMAI ,Kab. Siak Sri Indrapura
II, DUMAI ,Kab. Meranti
II, DUMAI ,Kab. Bengkalis
