Branch,Kabupaten,Type,Name,Address,Telephone,Class,Kecamatan,Lat,Long
PALEMBANG,PALEMBANG,P1,Merdeka,Jl.Merdeka No. 66 Kel. Talang Semut Kec. Bukit Kecil Palembang,0711317303,,,,
PALEMBANG,PALEMBANG,P1,Kampus,JL. Golf Blok G-5 Kampus Kel. Lorok Pakjo Kec.  Ilir Barat 1 Palembang,0711368650,,,,
PALEMBANG,PALEMBANG,P1,Lorok Pakjo,JL . Inspektur Marzuki NO. 2240 Kel. Lorok Pakjo Kec. IB 1 Palembang,08127124866,,,,
PALEMBANG,PALEMBANG,P1,Sei Baung,JL. Pertiwi RT 10 Dwikora II IB I Palembang,08127395917,,,,
PALEMBANG,PALEMBANG,P1,Padang Salasa,JL. Padang Salasa  Bukit Besar Kel. Bukit Lama Kec. IB I Palembang,08127818161,,,,
PALEMBANG,PALEMBANG,P1,Rumah Susun /23 Ilir,JL. Datuk M. Akib NO. 100 Bukit Kecil 'KOMP. Rumah Susun Palembang,08127857609,,,,
PALEMBANG,PALEMBANG,P1,Opi,JL. Hasan Basri PERUM OPI Jakabaring Palembang,08127836633,,,,
PALEMBANG,PALEMBANG,P1,Makrayu,JL. Makrayu No. 98 Kel. 32 Ilir  Kec. IB II Palembang,081367372449,,,,
PALEMBANG,PALEMBANG,P1,Gandus,JL. TP. Sopjan Kenawas No. 690 Palembang,07117330774,,,,
PALEMBANG,PALEMBANG,P1,Dempo,JL. Kol. Atmo No. 861 Kel. 17 Ilir Kec. Ilir Timur I Palembang,0711358640,,,,
PALEMBANG,PALEMBANG,P1,Basuki Rahmad,JL. Sersan Sani No. 1305 RT. 18 Kel. Pipa Reja Kec. Kemuning palembang                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,0711814470,,,,
PALEMBANG,PALEMBANG,P1,Sekip Ujung,JL. Amphibi Sekip Ujung Kel. Sekip Jaya Kec. Kemuning Palembang,08127109656,,,,
PALEMBANG,PALEMBANG,P1,Talang Ratu,JL. Let. Murod No. 986 RT. 13 KM 5 Kel. 20 ilir D-IV Kec. Ilir Timur I Palembang,0816381965,,,,
PALEMBANG,PALEMBANG,P1,Sosial,JL.Sosial Kel. Sukabangun KM 5 Kec. Sukarami Palembang,0711417629,,,,
PALEMBANG,PALEMBANG,P1,Punti Kayu,"JL. Srijaya KM 5,5 Palembang",07117737130,,,,
PALEMBANG,PALEMBANG,P1,Ariodillah,JL. Ariodillah no. 2102 Kel. Pahlawan kec. Ilir Timur I Palembang,0711317308,,,,
PALEMBANG,PALEMBANG,P1,Bom Baru,JL. Mayor Memed Sastra Wirya No. 29 Lawang Kidul Kec. Ilir Timur II Palembang,08127847780,,,,
PALEMBANG,PALEMBANG,P1,Kalidoni,JL. RW Mongonsidi RT.07 No.78 Talang Gading Kel/ Kec. Kalidoni Palembang,07117079108,,,,
PALEMBANG,PALEMBANG,P1,Sei Selincah,JL. May. Zein Kel. Sei Selincah Kec. Kalidoni Palembang,0711718374,,,,
PALEMBANG,PALEMBANG,P1,Kenten,JL. MP. Mangkunegara No. 1 Kel. Kenten Kec. Kenten IT II Palembang,0711822455,,,,
PALEMBANG,PALEMBANG,P1,Sabo King-King,JL. Sabo Kingking No. 13 RT. 01 Sei Buah Ilir  Timur II Palembang,0711717905,,,,
PALEMBANG,PALEMBANG,P1,Duku/5Ilir,Jl. Bambang Utoyo Kel. 5 Ilir Kec. IT II Palembang ,08127122309,,,,
PALEMBANG,PALEMBANG,P1,Bukit Sangkal,Jl. Tanjung Sari II No. 46 RT. 33 Bukit Sangkal Kalidoni Palembang,0711819891,,,,
PALEMBANG,PALEMBANG,P1,11 Ilir,JL. Slamet Riyadi 11 Ilir Kec. Ilir Timur II Palembang,08153272671,,,,
PALEMBANG,PALEMBANG,P1,7 Ulu,JL. K. H. Azhari Kecamatan Kec. SU I KEL. 7 ULU ,07117938884,,,,
PALEMBANG,PALEMBANG,P1,4 Ulu,JL. Wahid Hasyim Kecamatan Kel. 4 Ulu Kec. SU I KERTAPATI,0711511373,,,,
PALEMBANG,PALEMBANG,P1,Kertapati,JL. Abikusno Cokro Suyoso RT.07 Kemang Agung Kertapati Palembang,07117955464,,,,
PALEMBANG,PALEMBANG,P1,Keramasan,Jl Keramasan,0711511548,,,,
PALEMBANG,PALEMBANG,P1,1 Ulu,JL. H. Faqih Usman No. 2329 RT. 43 SU I Palembang,0711511497,,,,
PALEMBANG,PALEMBANG,P1,Pembina,JL .A. Yani No. 62 A  Kel. Silaberanti Kec. SU I Palembang,0711510203,,,,
PALEMBANG,PALEMBANG,P1,Ladang Plaju,JL. DI. Panjaitan KEL. PLAJU ULU Kec. SU I Palembang,07117178746,,,,
PALEMBANG,PALEMBANG,P1,Naga Swidak,JL. A. Yani LR. Gumai RT. 22 14 ULU SU II Palembang,08127826890,,,,
PALEMBANG,PALEMBANG,P1,16 Ulu/Taman Bacaan,JL. KH. Azhari Lr. Taman Bacaan SU II KEL. 16 ULU PLAJU,08127820086,,,,
PALEMBANG,PALEMBANG,P1,Perumnas Sako,JL. Lematang Raya No. 46 RT.29 Lebong Gajah Sako Palembang,0711824770,,,,
PALEMBANG,PALEMBANG,P1,Multiwahana,JL. Mitra Raya Blok H No. 4858 Sako Palembang,085273922062,,,,
PALEMBANG,PALEMBANG,P1,Sukarame,JL. Kebun Bunga RT.37 No. 1 KM.9 Kel/ Kec. Sukarami Palembang,07117422663,,,,
PALEMBANG,PALEMBANG,P1,Talang Betutu,Dani Effendi Desa Talang Betutu Sukarami Palembang,0816380574,,,,
PALEMBANG,PALEMBANG,P1,Alang-alang lebar,Jl. Tembus Terminal alang-alang lebar,0879897610350,,,,
PALEMBANG,PALEMBANG,P1,Karya Jaya,Jl. Mayje Singadekane Kel Karya Jaya Kec. Kertapati Palembang,08127610899,,,,
PALEMBANG,PALEMBANG,P2,dr.Salilul Hulwan,Jl.Kemang Manis No.58-C RT. 003/Klinik Alifah Kel. Kemang Manis Kec. IB II Plg,08127112468,,,,
PALEMBANG,PALEMBANG,P2,dr.Susi Alianti,Jl.Jend.Sudirman No.46 /Apt. Manjur Kec.Ilir Timur Plg,08127884869,,,,
PALEMBANG,PALEMBANG,P2,dr.Anton Suwindro,Jl.Radial No.73/74 / Klinik Aditya Kec.Bukit Kecil Plg,081367619427,,,,
PALEMBANG,PALEMBANG,P2,dr.Hj.Nelly Windarti,Jl.KH Wahid Hasyim No.12 5Ulu Kec.Seberang Ulu II Plg,0811719265,,,,
PALEMBANG,PALEMBANG,P2,dr.Dahlia,Jl. Peristiwa No. 228 RT.04/11 Kelurahan Srijaya Kecamatan Sukarami,"081367713283, (0711) 421900",,,,
PALEMBANG,PALEMBANG,P2,dr.Darlina,"Jl.MP.Mangku Negara Komp. Vila Kenten Blok A2 No. 1900 RT. 27/01 Sukamaju, Sako Plg",08127810899,,,,
PALEMBANG,PALEMBANG,P2,dr.Destika,Jl.Prajurit Nazaruddin No.60 Sekojo Kec Kalidoni Plg,0811789755/ 07117708964,,,,
PALEMBANG,PALEMBANG,P2,dr.Nurhayati,Jl.A.Yani / Depan RS Muhammadyah Kec Seberang Ulu II Plg,08127820086,,,,
PALEMBANG,PALEMBANG,P2,dr.Aisyah Gani,Jl. Dr.M.Isa No.38 A 8 Ilir Palembang,08127124260,,,,
PALEMBANG,PALEMBANG,P2, dr. Hj. Syari Masyithah ,Jl. A Yani Ruko Nigata blok G-34 Tangga Takat ,08163283478,,,,
PALEMBANG,PALEMBANG,P2,dr. Renaldy,Jl. DI. Panjaitan No. 5203 RT. 19 Kel. Plaju ULU Kec. Plaju Palembang,081373075042,,,,
PALEMBANG,PALEMBANG,P2,dr. Megawati A,"RSAB Nanda Nursarah, Jl. Basuki Rahmat No. 2627",081368267755/ 07117300997,,,,
PALEMBANG,PALEMBANG,P2,dr. Linda Welly,Balai Pengobatan Rahma Medika Jl. Sultan Mahmud Badaruddin II Alang-alang Lebar KM 12,(0711) 817406/ 08127821633,,,,
PALEMBANG,PALEMBANG,P2,"dr. Hj. Novia Diana Roza,M.Kes",Poligon Blok BU 5 RT.14/04 Kel. KarangJaya,081367372449,,,,
PALEMBANG,PALEMBANG,P2,dr. Tini Evriyanti,Jl. PDAM Tirta Musi LR. Hibah I No. 817 Bukit Lama IB I,08158863084,,,,
PALEMBANG,PALEMBANG,P2,"dr.H. Tamzil Burmawi,MPH      ",Jl. Pangeran Ratu Komp. TOP Blok A1 No. 26 RT.62/17 Kel. 15 Ulu Jakabaring,07117539003,,,,
PALEMBANG,PALEMBANG,P2,dr. Triana Haryani,Jl. Irrigasi No.3161 Pakjo Palembang,(0711) 7387783,,,,
PALEMBANG,PALEMBANG,P2,dr. Anizhom Tito Sampurno,Komp. Griya Irigasi Permai No. 1 A,08117101176,,,,
PALEMBANG,PALEMBANG,P2,dr. Budi Santoso,Jl. TPH Sofyan Kenawas RT. 016 Kel. Gandus Kec. Gandus Palembang,082178000760,,,,
PALEMBANG,PALEMBANG,P2,dr. Haikal Mubarak,Jl. May Zen Lr. Lebak Jaya III Kel. Sei Selayur Kec. Kalidoni (Belakang Ruko Megamart),081368901316,,,,
PALEMBANG,PALEMBANG,P2,dr. Rita Sriwulandari,Jl. Madang Lor. Makmur No 35/1580 RT 26 RW 08 kel. Sekip jaya kec. Kemuning Palembang 30126,0711370965/08127127998,,,,
PALEMBANG,PALEMBANG,P2,dr. Achmad Azhari,Jl. DI. Panjaitan No 43 RT 025 kel. Plaju Ilir Kec. Plaju,08127106830,,,,
PALEMBANG,PALEMBANG,P2,dr. Norman Imansyah Rizal,Jl. Musi raya No 91 Kel. Sako Kec. Sako Palembang,081367156666,,,,
